Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,James Abankwah,ie IRL,DF,Udinese,20,2004,6,88,15,2.6,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.50,Matches
2,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,4,205,51,6.0,2.3,2,62,0,2,41,27,1.50,4,1,+3,+1.32,+0.81,Matches
3,Oliver Abildgaard,dk DEN,"DF,MF",Como,28,1996,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.08,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,1,1,1,0.0,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.55,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,28,1183,42,34.6,13.1,12,70,2,16,22,6,1.75,27,14,+13,+0.99,+0.79,Matches
6,Federico Accornero,it ITA,MF,Genoa,20,2004,1,5,5,0.1,0.1,0,,0,1,5,11,0.00,0,0,0,0.00,+0.32,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,23,1710,74,50.0,19.0,20,83,18,3,17,7,2.04,31,21,+10,+0.53,-1.26,Matches
8,Che Adams,sct SCO,FW,Torino,28,1996,36,2652,74,77.5,29.5,30,82,20,6,33,1,1.14,31,36,-5,-0.17,-0.05,Matches
9,Vernon Addo,,MF,Lecce,,,0,,,,,0,,0,0,,1,,,,,,,Matches
10,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,26,1234,47,36.1,13.7,15,70,4,11,16,5,1.73,30,16,+14,+1.02,+0.82,Matches
11,Vasilije Adžić,me MNE,MF,Juventus,18,2006,6,42,7,1.2,0.5,0,,0,6,7,16,2.33,1,0,+1,+2.14,+1.56,Matches
12,Michel Aebischer,ch SUI,MF,Bologna,27,1997,14,724,52,21.2,8.0,9,66,2,5,26,10,1.36,6,12,-6,-0.75,-1.28,Matches
13,Honest Ahanor,it ITA,"MF,DF",Genoa,16,2008,6,270,45,7.9,3.0,3,70,0,3,20,11,0.67,2,7,-5,-1.67,-1.47,Matches
14,Mike Aidoo,it ITA,DF,Inter,19,2005,0,,,,,0,,0,0,,7,,,,,,,Matches
15,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,2,13,7,0.4,0.1,0,,0,2,7,24,2.00,0,0,0,0.00,+0.85,Matches
16,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,14,966,69,28.2,10.7,12,78,5,2,18,0,0.50,7,24,-17,-1.58,-0.70,Matches
17,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,4,45,11,1.3,0.5,0,,0,4,11,9,0.25,1,1,0,0.00,+0.32,Matches
18,Christos Alexiou,gr GRE,DF,Inter,19,2005,0,,,,,0,,0,0,,4,,,,,,,Matches
19,Faride Alidou,de GER,FW,Hellas Verona,23,2001,3,71,24,2.1,0.8,0,,0,3,24,10,0.00,0,0,0,0.00,+0.86,Matches
20,Dele Alli,eng ENG,"FW,MF",Como,28,1996,1,9,9,0.3,0.1,0,,0,1,9,9,0.00,0,0,0,0.00,+0.08,Matches
21,Pontus Almqvist,se SWE,"FW,MF",Parma,25,1999,29,1112,38,32.5,12.4,10,61,0,19,26,7,0.79,14,24,-10,-0.81,-0.65,Matches
22,Giorgio Altare,it ITA,DF,Venezia,25,1998,12,753,63,22.0,8.4,8,80,5,4,29,4,0.92,9,12,-3,-0.36,+0.35,Matches
23,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2,180,90,5.3,2.0,2,90,2,0,,0,1.00,1,1,0,0.00,-0.53,Matches
24,Francesco Andrealli,it ITA,MF,Como,16,2007,0,,,,,0,,0,0,,2,,,,,,,Matches
25,Angeliño,es ESP,"MF,DF",Roma,27,1997,38,3177,84,92.9,35.3,36,87,32,2,20,0,1.82,52,32,+20,+0.57,+0.20,Matches
26,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,1,6,6,0.2,0.1,0,,0,1,6,0,3.00,0,0,0,0.00,-0.61,Matches
27,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,22,1114,51,32.6,12.4,14,68,1,8,20,0,1.00,15,19,-4,-0.32,+0.54,Matches
28,Marko Arnautović,at AUT,FW,Inter,35,1989,18,549,31,16.1,6.1,5,69,1,13,16,20,2.06,12,9,+3,+0.49,-0.79,Matches
29,Kristjan Asllani,al ALB,MF,Inter,22,2002,22,988,45,28.9,11.0,10,80,5,12,16,14,2.36,20,10,+10,+0.91,-0.35,Matches
30,Ank Asmussen,dk DEN,FW,Empoli,19,2005,0,,,,,0,,0,0,,6,,,,,,,Matches
31,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,27,1251,46,36.6,13.9,12,78,4,15,21,3,1.15,10,20,-10,-0.72,-0.51,Matches
