Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,James Abankwah,ie IRL,DF,Udinese,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,Matches
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,Matches
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,38,2189,58,64.0,24.3,24,77,7,14,24,0,1.66,31,24,+7,+0.29,-0.08,Matches
4,Christian Acella,it ITA,MF,Cremonese,20,2002,1,15,15,0.4,0.2,0,,0,1,15,25,0.00,0,1,-1,-6.00,-5.15,Matches
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,+23,+0.85,+0.31,Matches
6,Marius Adamonis,lt LTU,GK,Lazio,25,1997,0,,,,,0,,0,0,,38,,,,,,,Matches
7,Yacine Adli,fr FRA,MF,Milan,22,2000,6,144,24,4.2,1.6,1,59,0,5,17,32,1.17,2,4,-2,-1.25,-1.88,Matches
8,Michel Aebischer,ch SUI,"MF,FW",Bologna,25,1997,32,1542,48,45.1,17.1,18,72,5,14,17,6,1.50,23,26,-3,-0.18,-0.51,Matches
9,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,23,817,36,23.9,9.1,7,63,1,16,24,11,0.78,9,13,-4,-0.44,+0.56,Matches
10,Felix Afena-Gyan,gh GHA,FW,Roma,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
11,Lucien Agoume,fr FRA,MF,Inter,20,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
12,Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,34,2131,63,62.3,23.7,23,78,6,11,31,2,0.74,20,38,-18,-0.76,+0.15,Matches
13,Ola Aina,ng NGA,MF,Torino,25,1996,19,876,46,25.6,9.7,9,75,4,10,20,3,1.53,9,7,+2,+0.21,+0.24,Matches
14,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,23,1653,72,48.3,18.4,17,87,14,6,29,13,0.61,13,30,-17,-0.93,-0.11,Matches
15,Ebenezer Akinsanmiro,ng NGA,MF,Inter,17,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
16,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,29,1992,24,1356,57,39.6,15.1,16,72,2,8,26,0,1.29,17,20,-3,-0.20,+0.19,Matches
17,Luis Alberto,es ESP,MF,Lazio,29,1992,35,2442,70,71.4,27.1,27,82,16,8,27,2,1.94,49,19,+30,+1.11,+1.11,Matches
18,Pasquale Allocca,it ITA,GK,Salernitana,17,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
19,Agustín Álvarez,uy URU,FW,Sassuolo,21,2001,22,368,17,10.8,4.1,1,53,0,21,15,13,0.86,6,9,-3,-0.73,-0.41,Matches
20,Lorenzo Amatucci,it ITA,MF,Fiorentina,18,2004,0,,,,,0,,0,0,,4,,,,,,,Matches
21,Wisdom Amey,it ITA,DF,Bologna,16,2005,0,,,,,0,,0,0,,7,,,,,,,Matches
22,Kelvin Amian,fr FRA,"DF,MF",Spezia,24,1998,30,2372,79,69.4,26.4,26,87,22,4,31,0,0.73,21,42,-21,-0.80,+0.06,Matches
23,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,1,58,58,1.7,0.6,1,58,0,0,,3,0.00,2,3,-1,-1.55,-0.83,Matches
24,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,26,2086,80,61.0,23.2,25,83,17,1,22,6,0.62,17,42,-25,-1.08,+0.41,Matches
25,Ethan Ampadu,wls WAL,"DF,MF",Spezia,21,2000,31,2639,85,77.2,29.3,31,85,22,0,,0,0.75,22,42,-20,-0.68,+0.59,Matches
26,Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,29,1998,69,58.4,22.2,24,79,11,5,23,4,1.41,29,27,+2,+0.09,-0.42,Matches
27,Djavan Anderson,sr SUR,"DF,MF",Lazio,27,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
28,Felipe Anderson,br BRA,FW,Lazio,29,1993,38,2958,78,86.5,32.9,35,82,23,3,28,0,1.95,48,24,+24,+0.73,-0.44,Matches
29,Matteo Angeli,it ITA,DF,Bologna,19,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
30,Samuele Angori,it ITA,MF,Empoli,18,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
31,Janis Antiste,fr FRA,"FW,MF",Sassuolo,19,2002,2,52,26,1.5,0.6,0,,0,2,26,13,1.50,2,1,+1,+1.73,+2.13,Matches
32,Marcos Antônio,br BRA,MF,Lazio,22,2000,16,594,37,17.4,6.6,6,70,1,10,18,21,1.75,7,6,+1,+0.15,-0.77,Matches
33,Valentin Antov,bg BUL,DF,Monza,21,2000,9,306,34,8.9,3.4,2,75,1,7,22,28,0.89,6,8,-2,-0.59,-0.53,Matches
34,Marko Arnautović,at AUT,FW,Bologna,33,1989,21,1530,73,44.7,17.0,18,81,10,3,22,2,1.24,22,24,-2,-0.12,-0.40,Matches
35,Tolgay Arslan,de GER,MF,Udinese,31,1990,36,1211,34,35.4,13.5,12,60,0,24,21,0,1.28,12,16,-4,-0.30,-0.42,Matches
36,Santiago Ascacíbar,ar ARG,MF,Cremonese,25,1997,13,727,56,21.3,8.1,7,74,3,6,35,3,0.31,6,11,-5,-0.62,+0.32,Matches
37,Kristoffer Askildsen,no NOR,MF,Lecce,21,2001,21,728,35,21.3,8.1,7,63,0,14,21,15,1.19,9,10,-1,-0.12,+0.28,Matches
38,Kristjan Asllani,al ALB,MF,Inter,20,2002,20,592,30,17.3,6.6,5,69,1,15,16,18,2.05,9,10,-1,-0.15,-1.11,Matches
39,Emil Audero,id IDN,GK,Sampdoria,25,1997,25,2250,90,65.8,25.0,25,90,25,0,,0,0.48,11,39,-28,-1.12,+0.34,Matches
40,Tommaso Augello,it ITA,"MF,DF",Sampdoria,27,1994,37,3061,83,89.5,34.0,35,85,28,2,45,1,0.51,23,64,-41,-1.21,+0.30,Matches
41,Carlos Augusto,br BRA,MF,Monza,23,1999,35,3083,88,90.1,34.3,35,88,31,0,,0,1.40,45,46,-1,-0.03,+0.77,Matches
42,Kaan Ayhan,tr TUR,DF,Sassuolo,27,1994,10,545,55,15.9,6.1,5,90,5,5,19,8,1.40,6,11,-5,-0.83,-0.54,Matches
