Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Max Aarons,eng ENG,DF,Valencia,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.50,-1.28,Matches
2,Álvaro Abajas,es ESP,GK,Leganés,21,2003,0,,,,,0,,0,0,,33,,,,,,,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,65,65,1.9,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-1.14,Matches
4,Jones El-Abdellaoui,ma MAR,FW,Celta Vigo,18,2006,0,,,,,0,,0,0,,9,,,,,,,Matches
5,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,263,38,7.7,2.9,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.23,Matches
6,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,2463,85,72.0,27.4,29,85,24,0,,0,1.03,30,41,-11,-0.40,-0.50,Matches
7,Vicent Abril,es ESP,GK,Valencia,19,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
8,Álvaro Aceves,es ESP,GK,Valladolid,21,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
9,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,134,34,3.9,1.5,1,90,1,3,15,0,0.25,1,3,-2,-1.34,-1.04,Matches
10,Adrián,es ESP,GK,Real Betis,37,1987,19,1710,90,50.0,19.0,19,90,19,0,,17,1.95,39,27,+12,+0.63,+0.89,Matches
11,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,1206,86,35.3,13.4,14,86,12,0,,22,2.21,22,9,+13,+0.97,+0.48,Matches
12,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,2114,60,61.8,23.5,24,84,14,11,10,1,1.09,26,39,-13,-0.55,-0.55,Matches
13,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,443,28,13.0,4.9,4,71,0,12,13,20,0.94,6,7,-1,-0.20,+0.10,Matches
14,Diego Aguado,es ESP,DF,Real Madrid,17,2007,0,,,,,0,,0,0,,4,,,,,,,Matches
15,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,5,3,0.1,0.1,0,,0,2,3,6,3.00,0,0,0,0.00,-1.05,Matches
16,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,21,1760,84,51.5,19.6,21,84,17,0,,3,1.48,18,15,+3,+0.15,+0.91,Matches
17,Lalo Aguilar,es ESP,DF,Leganés,22,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
18,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,8,583,73,17.0,6.5,6,78,4,2,57,1,0.00,6,25,-19,-2.93,-1.51,Matches
19,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,1,2,2,0.1,0.0,0,,0,1,2,13,3.00,1,0,+1,+45.00,+44.97,Matches
20,Ilias Akhomach,ma MAR,MF,Villarreal,20,2004,11,584,53,17.1,6.5,7,69,0,4,25,1,1.91,8,7,+1,+0.15,-0.45,Matches
21,David Alaba,at AUT,DF,Real Madrid,32,1992,7,317,45,9.3,3.5,4,66,1,3,17,5,2.14,6,4,+2,+0.57,-0.53,Matches
22,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,3,160,53,4.7,1.8,1,90,1,2,35,0,0.00,0,4,-4,-2.25,-0.59,Matches
23,Raúl Albiol,es ESP,DF,Villarreal,38,1985,15,1188,79,34.7,13.2,14,84,12,1,6,13,1.73,26,20,+6,+0.45,-0.11,Matches
24,Alcázar,es ESP,DF,Real Betis,22,2002,0,,,,,0,,0,0,,5,,,,,,,Matches
25,Omar Alderete,py PAR,DF,Getafe,27,1996,34,2971,87,86.9,33.0,34,87,27,0,,0,1.21,32,35,-3,-0.09,+0.31,Matches
26,Pedro Alemañ,es ESP,MF,Valencia,22,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
27,Carles Aleñá,es ESP,MF,Getafe,26,1998,10,452,45,13.2,5.0,5,67,0,5,23,7,0.80,2,4,-2,-0.40,-0.31,Matches
28,Carles Aleñá,es ESP,MF,Alavés,26,1998,14,1090,78,31.9,12.1,13,82,5,1,18,1,1.29,11,12,-1,-0.08,+0.27,Matches
29,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,26,1371,53,40.1,15.2,14,76,4,12,26,9,1.19,24,26,-2,-0.13,-0.31,Matches
30,Tadeo Allende,ar ARG,MF,Celta Vigo,25,1999,1,2,2,0.1,0.0,0,,0,1,2,7,1.50,0,1,-1,-45.00,-45.08,Matches
31,Alex Almansa,es ESP,FW,Espanyol,20,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
32,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,34,1977,58,57.8,22.0,24,73,4,10,21,2,1.32,27,29,-2,-0.09,+0.41,Matches
33,Iker Almena,es ESP,MF,Girona,20,2004,2,48,24,1.4,0.5,0,,0,2,24,0,0.50,1,1,0,0.00,+0.43,Matches
34,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,31,2647,85,77.4,29.4,29,88,25,2,51,0,1.48,41,39,+2,+0.07,+0.07,Matches
35,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,22,1630,74,47.7,18.1,19,79,11,3,43,14,1.18,18,26,-8,-0.44,+0.01,Matches
36,Sergi Altimira,es ESP,MF,Real Betis,22,2001,32,1972,62,57.7,21.9,22,77,9,10,27,6,1.63,32,33,-1,-0.05,-0.54,Matches
37,Hugo Álvarez,es ESP,MF,Celta Vigo,21,2003,26,1572,60,46.0,17.5,16,80,9,10,29,8,1.31,30,27,+3,+0.17,+0.22,Matches
38,Iker Álvarez,ad AND,GK,Villarreal,23,2001,0,,,,,0,,0,0,,1,,,,,,,Matches
39,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,37,2509,68,73.4,27.9,30,77,12,7,29,0,1.97,47,17,+30,+1.08,+0.29,Matches
40,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,21,1781,85,52.1,19.8,20,89,19,1,2,9,1.90,20,11,+9,+0.45,-0.42,Matches
41,Selim Amallah,ma MAR,MF,Valladolid,27,1996,24,1376,57,40.2,15.3,18,67,2,6,29,7,0.38,10,34,-24,-1.57,+0.19,Matches
42,Amath,sn SEN,"FW,MF",Valladolid,28,1996,13,375,29,11.0,4.2,5,57,0,8,11,18,0.54,2,6,-4,-0.96,+0.81,Matches
43,Marcos André,br BRA,FW,Valladolid,27,1996,22,1188,54,34.7,13.2,14,75,2,8,17,13,0.41,11,32,-21,-1.59,+0.14,Matches
44,Aleksandar Andreev,bg BUL,GK,Girona,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches
45,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,2,28,14,0.8,0.3,0,,0,2,14,6,2.00,0,0,0,0.00,+0.34,Matches
46,Antoniu,es ESP,MF,Espanyol,21,2002,26,1022,39,29.9,11.4,13,61,0,13,17,9,1.08,14,10,+4,+0.35,+0.92,Matches
47,Antony,br BRA,MF,Real Betis,24,2000,17,1362,80,39.8,15.1,15,85,10,2,40,0,1.88,34,20,+14,+0.93,+1.23,Matches
48,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,26,1720,66,50.3,19.1,21,76,8,5,25,2,0.42,12,39,-27,-1.41,+0.55,Matches
49,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,177,89,5.2,2.0,2,89,1,0,,1,2.00,3,2,+1,+0.51,+1.01,Matches
50,Mauro Arambarri,uy URU,MF,Getafe,28,1995,35,2661,76,77.8,29.6,31,83,23,4,23,0,1.11,29,32,-3,-0.10,+0.14,Matches
51,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,35,2460,70,71.9,27.3,28,83,19,7,20,2,1.31,26,35,-9,-0.33,-0.14,Matches
52,Egoitz Arana,es ESP,GK,Real Sociedad,22,2002,0,,,,,0,,0,0,,6,,,,,,,Matches
53,Ronald Araújo,uy URU,DF,Barcelona,25,1999,12,754,63,22.0,8.4,11,68,5,1,5,7,2.69,22,8,+14,+1.67,+0.02,Matches
54,Matías Árbol,es ESP,GK,Sevilla,21,2002,0,,,,,0,,0,0,,10,,,,,,,Matches
55,Adu Ares,es ESP,MF,Athletic Club,22,2001,1,19,19,0.6,0.2,0,,0,1,19,2,0.00,0,1,-1,-4.74,-5.42,Matches
56,Jesús Areso,es ESP,DF,Osasuna,25,1999,36,3079,86,90.0,34.2,35,87,24,1,28,1,1.44,47,43,+4,+0.12,+2.23,Matches
57,David Argüelles,es ESP,DF,Getafe,22,2002,1,7,7,0.2,0.1,0,,0,1,7,13,1.00,1,0,+1,+12.86,+13.02,Matches
58,Iñigo Arguibide,es ESP,FW,Osasuna,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches
59,José Arnaiz,es ESP,MF,Osasuna,29,1995,15,133,9,3.9,1.5,1,45,0,14,6,18,0.60,2,3,-1,-0.68,-0.59,Matches
60,Sergio Arribas,es ESP,DF,Real Betis,21,2003,1,90,90,2.6,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+0.84,Matches
61,Ricard Artero,es ESP,MF,Girona,21,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
62,Takuma Asano,jp JPN,"MF,FW",Mallorca,29,1994,21,1054,50,30.8,11.7,13,67,0,8,23,2,1.14,14,13,+1,+0.09,+0.47,Matches
63,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,23,1670,73,48.8,18.6,18,84,13,5,32,3,2.43,37,16,+21,+1.13,+0.15,Matches
64,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,30,1745,58,51.0,19.4,19,78,8,11,23,3,1.50,30,27,+3,+0.15,+0.21,Matches
65,Yaser Asprilla,co COL,"MF,FW",Girona,20,2003,27,1405,52,41.1,15.6,15,76,6,12,22,3,1.00,17,28,-11,-0.70,-0.48,Matches
66,Ander Astralaga,es ESP,GK,Barcelona,20,2004,0,,,,,0,,0,0,,16,,,,,,,Matches
67,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,30,1994,19,677,36,19.8,7.5,6,62,1,13,23,5,1.63,9,7,+2,+0.27,+0.10,Matches
68,Adam Aznou,ma MAR,"DF,MF",Valladolid,18,2006,13,876,67,25.6,9.7,10,79,7,3,29,2,0.08,7,23,-16,-1.64,+0.05,Matches
69,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,14,875,63,25.6,9.7,10,75,5,4,32,16,1.80,18,8,+10,+1.03,+0.04,Matches
70,Papa Ba,es ESP,FW,Girona,19,2004,1,48,48,1.4,0.5,0,,0,1,48,2,0.00,0,0,0,0.00,+0.43,Matches
71,Iker Bachiller,es ESP,DF,Leganés,21,2002,0,,,,,0,,0,0,,13,,,,,,,Matches
72,Loïc Bade,fr FRA,DF,Sevilla,24,2000,32,2686,84,78.5,29.8,31,86,29,1,21,1,1.06,31,40,-9,-0.30,+0.19,Matches
73,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,32,2595,81,75.9,28.8,30,84,16,2,33,0,1.91,59,36,+23,+0.80,+1.12,Matches
74,Eric Bailly,ci CIV,DF,Villarreal,30,1994,12,617,51,18.0,6.9,8,67,3,4,20,20,1.67,11,14,-3,-0.44,-1.18,Matches
75,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,14,969,69,28.3,10.8,12,75,3,2,35,1,0.64,7,17,-10,-0.93,-0.52,Matches
76,Cédric Bakambu,cd COD,FW,Real Betis,33,1991,25,710,28,20.8,7.9,6,57,0,19,19,7,1.46,15,8,+7,+0.89,+0.89,Matches
77,Jon Balda,es ESP,DF,Real Sociedad,22,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
78,Alejandro Balde,es ESP,DF,Barcelona,20,2003,32,2284,71,66.8,25.4,26,81,13,6,30,3,2.25,66,22,+44,+1.73,+0.23,Matches
79,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,25,1200,48,35.1,13.3,12,83,9,13,16,13,1.72,12,12,0,0.00,+0.16,Matches
80,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,28,1996,12,811,68,23.7,9.0,10,76,4,2,26,4,0.92,10,20,-10,-1.11,-1.52,Matches
81,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,5,49,10,1.4,0.5,0,,0,5,10,9,0.00,1,0,+1,+1.84,+3.57,Matches
82,Valentín Barco,ar ARG,DF,Sevilla,20,2004,7,288,41,8.4,3.2,3,75,1,4,16,7,1.86,3,4,-1,-0.31,+0.03,Matches
83,Borna Barišić,hr CRO,DF,Leganés,31,1992,1,9,9,0.3,0.1,1,9,0,0,,0,0.00,0,0,0,0.00,+0.45,Matches
84,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,15,315,21,9.2,3.5,3,56,0,12,12,11,1.47,6,3,+3,+0.86,+1.06,Matches
85,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,30,2191,73,64.1,24.3,26,81,7,4,22,2,1.37,28,29,-1,-0.04,+0.62,Matches
86,Ander Barrenetxea,es ESP,MF,Real Sociedad,22,2001,30,1263,42,36.9,14.0,14,58,0,16,28,3,1.17,15,23,-8,-0.57,-0.44,Matches
